"JokeId,Punchline,Setup"
7,Fresh Prints.,What's on Chris Rock's Face?
8,There was too much sax and violins.,I stopped taking my kids to the orchestra.
32,Your pupils. They dilate.,What is the last part of your body to die?
10,A fsh.,What do you call a fish with no eyes?
31,I said it must be my weekend immune system.,My boss asked me why i only get sick on work days.
3,Then it's a soap opera.,Singing in the shower is fun until you get soap in your mouth.
2,Towels.,What is the leading cause of dry skin?
14,the dry erase board has to be the most remarkable.,Of all the inventions of the last 100 years,
18,That would be a big step forward.,My wife said I should do lunges to stay in shape.
25,Car,What's a three letter word that starts with gas?
12,Its days are numbered.,I'm afraid for the calendar.
9,for I have cinnamoned.,Forgive me Father Pastry,
27,A grave mistake.,What do you call a typo on a headstone?
4,In case they get a hole in one!,Why do fathers take an extra pair of socks when they go golfing?
26,You don't know what you're missing!,You really should try archery while blindfolded.
13,Neil before me.,I am Buzz Aldrin. Second man to step on the moon.
16,From the second hand store.,Where did Luke get his bionic hand?
6,Country.,What genre are national anthems?
20,Sofishticated.,What do you call a fish wearing a bowtie?
19,Its days are numbered.,I'm afraid for the calendar.
1,Nothing...it just waved.,What did the ocean say to the beach?
0,Turns out it was the refrigerator all along.,I thought the dryer was shrinking my clothes.
5,I said ""I never knew he did."",My wife asked if I have seen the dog bowl.
22,are you an iWitness?,If you watch an Apple store get robbed,
29,I guess you could say that my life is in ruins.,Iâ€™m studying to be an archaeologist.
24,then soviet.,If pronouncing my b's as v's makes me sound Russian,
30,Defeat.,What part of the body always loses?
15,You follow the fresh prints.,How do you follow Will Smith in the snow?
28,Bartender says: We don't serve your type here.,Times New Roman and Comic Sans walk into a bar.
11,They're both Paris sites.,What do a tick and the Eiffel Tower have in common?